campaign,batch,hourly_timestamp,code,tbl_speed,fom,main_comp,tbl_fill,SREL,pre_comp,produced,waste,cyl_main,cyl_pre,stiffness,ejection
66,288,2019-06-28 07:30:00,1.0,88.33333333333333,17.666666666666668,3.728333333333333,5.490166666666667,4.108333333333333,0.0,228.15,4492.766666666666,2.09,4.0,45.88333333333333,18.383333333333333
66,288,2019-06-28 07:40:00,1.0,0.0,0.0,3.5,5.72,4.5,0.0,117.5,2261.0,2.09,4.0,50.0,19.0
66,289,2019-06-28 07:40:00,1.0,33.333333333333336,6.666666666666667,3.7750000000000004,5.370833333333334,7.25,0.0,0.0,676.3333333333334,2.09,4.0,47.5,18.5
66,289,2019-06-28 07:50:00,1.0,0.0,0.0,3.7,5.25,3.8,0.0,0.0,1306.0,2.09,4.0,45.0,18.0
66,289,2019-06-28 08:00:00,1.0,0.0,0.0,3.7,5.25,3.8,0.0,0.0,1306.0,2.09,4.0,45.0,18.0
66,289,2019-06-28 08:10:00,1.0,50.8,10.333333333333334,3.6850000000000005,5.310666666666666,3.7666666666666666,0.0,1.8666666666666667,1437.4666666666667,2.09,4.0,50.266666666666666,18.3
66,289,2019-06-28 08:20:00,1.0,100.0,20.0,3.6733333333333333,5.3545,3.828333333333333,0.0,16.216666666666665,1568.3833333333334,2.09,4.0,58.95,19.566666666666666
66,289,2019-06-28 08:30:00,1.0,100.0,20.0,3.668333333333334,5.3845,3.89,0.0,32.86666666666667,1572.8,2.09,4.0,51.4,19.266666666666666
66,289,2019-06-28 08:40:00,1.0,100.0,20.0,3.658333333333333,5.396,3.93,0.0,49.516666666666666,1581.2166666666667,2.09,4.0,61.13333333333333,19.383333333333333
66,289,2019-06-28 08:50:00,1.0,100.0,20.0,3.6599999999999997,5.399333333333334,3.9699999999999998,0.0,66.16666666666667,1588.9833333333333,2.09,4.0,61.8,19.45
66,289,2019-06-28 09:00:00,1.0,100.0,20.0,3.668333333333334,5.401666666666667,3.935,0.0,82.78333333333333,1600.25,2.09,4.0,61.3,19.683333333333334
66,289,2019-06-28 09:10:00,1.0,100.0,20.0,3.6633333333333336,5.4031666666666665,3.955,0.0,99.45,1610.1833333333334,2.09,4.0,62.8,19.666666666666668
66,289,2019-06-28 09:20:00,1.0,100.0,20.0,3.6633333333333336,5.4110000000000005,3.871666666666667,0.0,116.08333333333333,1620.35,2.09,4.0,64.93333333333334,19.516666666666666
66,289,2019-06-28 09:30:00,1.0,100.0,20.0,3.661666666666667,5.4078333333333335,3.8733333333333335,0.0,132.73333333333332,1627.3666666666666,2.09,4.0,61.03333333333333,19.583333333333332
66,289,2019-06-28 09:40:00,1.0,100.0,20.0,3.6533333333333338,5.408833333333334,3.881666666666667,0.0,149.38333333333333,1638.15,2.0909999999999997,4.0,64.13333333333334,18.6
66,289,2019-06-28 09:50:00,1.0,100.0,20.0,3.665,5.477666666666667,3.893333333333333,0.0,166.01666666666668,1649.45,2.1176666666666666,4.0,61.88333333333333,19.283333333333335
66,289,2019-06-28 10:00:00,1.0,100.0,20.0,3.671666666666667,5.4863333333333335,3.945,0.0,182.66666666666666,1659.7166666666667,2.12,4.0,58.016666666666666,19.266666666666666
66,289,2019-06-28 10:10:00,1.0,100.0,20.0,3.6566666666666667,5.485,3.92,0.0,199.3,1670.8166666666666,2.12,4.0,47.35,18.683333333333334
66,289,2019-06-28 10:20:00,1.0,100.0,20.0,3.6550000000000002,5.475,4.015,0.0,215.95,1688.35,2.12,4.0,59.416666666666664,19.316666666666666
66,289,2019-06-28 10:30:00,1.0,85.0,17.0,3.646666666666667,5.592,4.37,0.0,232.33333333333334,1707.4833333333333,2.12,4.0,46.9,19.183333333333334
66,289,2019-06-28 10:40:00,1.0,0.0,0.0,3.6,5.91,6.1,0.0,230.78787878787878,1737.0,2.12,4.0,40.0,19.0
