,Batch_number,Feature
393,131,produced
394,132,produced
395,133,produced
396,262,produced
397,263,produced
398,264,produced
399,265,produced
400,266,produced
401,267,produced
402,268,produced
403,269,produced
404,270,produced
405,271,produced
406,272,produced
407,273,produced
408,274,produced
409,275,produced
410,276,produced
411,284,produced
412,285,produced
413,286,produced
414,287,produced
415,288,produced
416,289,produced
417,290,produced
418,291,produced
419,292,produced
420,293,produced
421,294,produced
422,295,produced
423,296,produced
424,297,produced
425,298,produced
426,306,produced
427,307,produced
428,308,produced
429,309,produced
430,310,produced
431,311,produced
432,312,produced
433,313,produced
434,314,produced
435,315,produced
436,316,produced
437,317,produced
438,318,produced
439,319,produced
440,320,produced
441,443,produced
442,444,produced
443,445,produced
444,446,produced
445,447,produced
446,448,produced
447,449,produced
448,450,produced
449,451,produced
450,452,produced
451,453,produced
452,64,produced
453,65,produced
454,66,produced
455,67,produced
456,68,produced
457,69,produced
458,150,produced
459,151,produced
460,152,produced
461,184,produced
462,185,produced
463,186,produced
464,187,produced
465,246,produced
466,344,produced
467,345,produced
468,346,produced
469,358,produced
470,359,produced
471,360,produced
472,361,produced
473,362,produced
474,363,produced
475,469,produced
476,470,produced
477,471,produced
478,472,produced
479,83,produced
480,84,produced
481,86,produced
482,87,produced
483,149,produced
484,260,produced
485,261,produced
486,332,produced
487,411,produced
488,412,produced
489,413,produced
490,431,produced
491,432,produced
492,502,produced
493,62,produced
494,63,produced
495,142,produced
496,143,produced
497,144,produced
498,180,produced
499,181,produced
500,182,produced
501,183,produced
502,357,produced
503,258,produced
504,259,produced
505,333,produced
506,334,produced
507,355,produced
508,356,produced
509,457,produced
510,458,produced
511,459,produced
512,460,produced
513,461,produced
514,26,srel
515,27,srel
516,29,srel
517,30,srel
518,31,srel
519,33,srel
520,34,srel
521,35,srel
522,36,srel
523,44,srel
524,45,srel
525,46,srel
526,47,srel
527,48,srel
528,49,srel
529,54,srel
530,128,srel
531,129,srel
532,130,srel
533,133,srel
534,262,srel
535,264,srel
536,265,srel
537,268,srel
538,269,srel
539,272,srel
540,273,srel
541,274,srel
542,276,srel
543,285,srel
544,287,srel
545,289,srel
546,290,srel
547,293,srel
548,295,srel
549,296,srel
550,297,srel
551,298,srel
552,307,srel
553,308,srel
554,313,srel
555,315,srel
556,316,srel
557,317,srel
558,318,srel
559,319,srel
560,320,srel
561,443,srel
562,444,srel
563,445,srel
564,446,srel
565,448,srel
566,450,srel
567,451,srel
568,68,srel
569,69,srel
570,150,srel
571,151,srel
572,152,srel
573,185,srel
574,246,srel
575,344,srel
576,346,srel
577,359,srel
578,363,srel
579,470,srel
580,472,srel
581,83,srel
582,84,srel
583,86,srel
584,87,srel
585,149,srel
586,260,srel
587,261,srel
588,332,srel
589,411,srel
590,412,srel
591,413,srel
592,431,srel
593,502,srel
594,62,srel
595,63,srel
596,181,srel
597,183,srel
598,333,srel
599,334,srel
600,355,srel
601,356,srel
602,457,srel
603,458,srel
604,460,srel
605,26,stiffness
606,27,stiffness
607,28,stiffness
608,29,stiffness
609,30,stiffness
610,31,stiffness
611,32,stiffness
612,33,stiffness
613,34,stiffness
614,35,stiffness
615,36,stiffness
616,43,stiffness
617,45,stiffness
618,47,stiffness
619,48,stiffness
620,49,stiffness
621,50,stiffness
622,54,stiffness
623,56,stiffness
624,127,stiffness
625,128,stiffness
626,132,stiffness
627,133,stiffness
628,262,stiffness
629,264,stiffness
630,265,stiffness
631,266,stiffness
632,267,stiffness
633,268,stiffness
634,269,stiffness
635,271,stiffness
636,273,stiffness
637,276,stiffness
638,285,stiffness
639,286,stiffness
640,288,stiffness
641,289,stiffness
642,290,stiffness
643,291,stiffness
644,292,stiffness
645,294,stiffness
646,295,stiffness
647,296,stiffness
648,297,stiffness
649,298,stiffness
650,306,stiffness
651,310,stiffness
652,311,stiffness
653,313,stiffness
654,314,stiffness
655,319,stiffness
656,443,stiffness
657,444,stiffness
658,445,stiffness
659,446,stiffness
660,447,stiffness
661,448,stiffness
662,450,stiffness
663,451,stiffness
664,452,stiffness
665,65,stiffness
666,68,stiffness
667,69,stiffness
668,150,stiffness
669,184,stiffness
670,344,stiffness
671,345,stiffness
672,346,stiffness
673,358,stiffness
674,359,stiffness
675,361,stiffness
676,363,stiffness
677,469,stiffness
678,470,stiffness
679,471,stiffness
680,472,stiffness
681,86,stiffness
682,87,stiffness
683,261,stiffness
684,412,stiffness
685,413,stiffness
686,502,stiffness
687,63,stiffness
688,142,stiffness
689,143,stiffness
690,180,stiffness
691,181,stiffness
692,182,stiffness
693,357,stiffness
694,259,stiffness
695,334,stiffness
696,355,stiffness
697,457,stiffness
698,458,stiffness
699,459,stiffness
700,460,stiffness
701,26,tbl_fill
702,27,tbl_fill
703,28,tbl_fill
704,29,tbl_fill
705,31,tbl_fill
706,32,tbl_fill
707,33,tbl_fill
708,34,tbl_fill
709,35,tbl_fill
710,36,tbl_fill
711,40,tbl_fill
712,43,tbl_fill
713,44,tbl_fill
714,45,tbl_fill
715,46,tbl_fill
716,47,tbl_fill
717,48,tbl_fill
718,49,tbl_fill
719,50,tbl_fill
720,51,tbl_fill
721,52,tbl_fill
722,53,tbl_fill
723,54,tbl_fill
724,55,tbl_fill
725,128,tbl_fill
726,129,tbl_fill
727,130,tbl_fill
728,132,tbl_fill
729,133,tbl_fill
730,263,tbl_fill
731,264,tbl_fill
732,266,tbl_fill
733,267,tbl_fill
734,268,tbl_fill
735,269,tbl_fill
736,272,tbl_fill
737,273,tbl_fill
738,276,tbl_fill
739,284,tbl_fill
740,285,tbl_fill
741,286,tbl_fill
742,287,tbl_fill
743,288,tbl_fill
744,289,tbl_fill
745,290,tbl_fill
746,291,tbl_fill
747,292,tbl_fill
748,293,tbl_fill
749,294,tbl_fill
750,295,tbl_fill
751,296,tbl_fill
752,297,tbl_fill
753,298,tbl_fill
754,307,tbl_fill
755,308,tbl_fill
756,309,tbl_fill
757,310,tbl_fill
758,311,tbl_fill
759,314,tbl_fill
760,315,tbl_fill
761,316,tbl_fill
762,318,tbl_fill
763,319,tbl_fill
764,320,tbl_fill
765,444,tbl_fill
766,445,tbl_fill
767,446,tbl_fill
768,447,tbl_fill
769,448,tbl_fill
770,449,tbl_fill
771,450,tbl_fill
772,451,tbl_fill
773,64,tbl_fill
774,66,tbl_fill
775,68,tbl_fill
776,150,tbl_fill
777,151,tbl_fill
778,152,tbl_fill
779,184,tbl_fill
780,187,tbl_fill
781,246,tbl_fill
782,344,tbl_fill
783,345,tbl_fill
784,358,tbl_fill
785,359,tbl_fill
786,360,tbl_fill
787,361,tbl_fill
788,362,tbl_fill
789,363,tbl_fill
790,469,tbl_fill
791,470,tbl_fill
792,471,tbl_fill
793,472,tbl_fill
794,83,tbl_fill
795,84,tbl_fill
796,86,tbl_fill
797,87,tbl_fill
798,149,tbl_fill
799,260,tbl_fill
800,261,tbl_fill
801,411,tbl_fill
802,412,tbl_fill
803,413,tbl_fill
804,431,tbl_fill
805,432,tbl_fill
806,502,tbl_fill
807,62,tbl_fill
808,63,tbl_fill
809,143,tbl_fill
810,180,tbl_fill
811,181,tbl_fill
812,182,tbl_fill
813,183,tbl_fill
814,357,tbl_fill
815,258,tbl_fill
816,259,tbl_fill
817,333,tbl_fill
818,355,tbl_fill
819,356,tbl_fill
820,457,tbl_fill
821,459,tbl_fill
822,460,tbl_fill
823,461,tbl_fill
824,26,tbl_speed
825,28,tbl_speed
826,30,tbl_speed
827,33,tbl_speed
828,36,tbl_speed
829,41,tbl_speed
830,42,tbl_speed
831,45,tbl_speed
832,48,tbl_speed
833,49,tbl_speed
834,54,tbl_speed
835,55,tbl_speed
836,124,tbl_speed
837,125,tbl_speed
838,126,tbl_speed
839,127,tbl_speed
840,128,tbl_speed
841,129,tbl_speed
842,133,tbl_speed
843,262,tbl_speed
844,263,tbl_speed
845,268,tbl_speed
846,272,tbl_speed
847,289,tbl_speed
848,290,tbl_speed
849,293,tbl_speed
850,296,tbl_speed
851,298,tbl_speed
852,307,tbl_speed
853,314,tbl_speed
854,318,tbl_speed
855,443,tbl_speed
856,447,tbl_speed
857,448,tbl_speed
858,450,tbl_speed
859,451,tbl_speed
860,64,tbl_speed
861,69,tbl_speed
862,185,tbl_speed
863,186,tbl_speed
864,246,tbl_speed
865,344,tbl_speed
866,361,tbl_speed
867,470,tbl_speed
868,472,tbl_speed
869,83,tbl_speed
870,85,tbl_speed
871,87,tbl_speed
872,149,tbl_speed
873,260,tbl_speed
874,261,tbl_speed
875,431,tbl_speed
876,432,tbl_speed
877,502,tbl_speed
878,62,tbl_speed
879,63,tbl_speed
880,143,tbl_speed
881,180,tbl_speed
882,182,tbl_speed
883,357,tbl_speed
884,334,tbl_speed
885,457,tbl_speed
886,458,tbl_speed
887,459,tbl_speed
888,460,tbl_speed
889,461,tbl_speed
890,50,waste
891,51,waste
892,55,waste
893,56,waste
894,128,waste
895,131,waste
896,132,waste
897,133,waste
898,267,waste
899,274,waste
900,285,waste
901,296,waste
902,311,waste
903,443,waste
904,452,waste
905,360,waste
906,472,waste
907,85,waste
908,63,waste
909,180,waste
910,357,waste
911,333,waste
912,334,waste
